OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SL-16 R/B,1985-097B,2026-05-18T01:33:59.226912,14.16609128,.0006705,71.0039,354.4963,168.1344,353.3670,0,U,16182,999,9705,-.8235E-4,-.212E-5,0
SL-14 R/B,1986-006B,2026-05-18T04:09:14.779872,14.86914044,.0077428,82.5282,194.3556,43.2750,317.4513,0,U,16496,999,15953,.33832E-4,.347E-5,0
COSMOS 1743,1986-034A,2026-05-18T01:00:03.483072,15.64334162,.0005571,82.5288,0.7178,47.5865,312.5864,0,U,16719,999,19107,.32208E-3,.30873E-3,0
SL-14 R/B,1986-046B,2026-05-18T02:44:13.659936,14.85649839,.0023153,82.4835,14.5926,2.5292,357.6037,0,U,16792,999,13671,.26185E-4,.252E-5,0
SL-14 R/B,1986-055B,2026-05-18T04:38:55.735296,14.85698665,.0020445,82.5214,61.3271,101.1850,61.8993,0,U,16882,999,12968,.27202E-4,.262E-5,0
AJISAI (EGS),1986-061A,2026-05-18T04:23:51.772704,12.44516246,.0011393,50.0088,239.6576,104.5337,334.9033,0,U,16908,999,47665,.14795E-3,-.77E-6,0
SL-14 R/B,1987-024B,2026-05-18T02:56:02.998752,14.86191254,.001914,82.5300,27.5079,34.9591,325.2878,0,U,17567,999,9844,.27951E-4,.271E-5,0
COSMOS 1833,1987-027A,2026-05-18T03:56:10.578912,14.13032595,.0022394,70.9142,179.9804,104.9740,255.3862,0,U,17589,999,2013,.64746E-4,.73E-6,0
SL-16 R/B,1987-027B,2026-05-18T05:13:41.039040,14.17170566,.0004974,70.9992,129.9815,349.5083,10.5936,0,U,17590,999,2519,.28013E-4,.9E-7,0
SL-14 R/B,1987-038B,2026-05-18T03:40:02.074656,14.85424944,.0017807,82.5025,231.3594,297.0634,62.8765,0,U,17912,999,8954,.26164E-4,.25E-5,0
COSMOS 1844,1987-041A,2026-05-18T01:17:23.695008,14.14562006,.0032876,70.8993,247.8651,277.7066,82.0322,0,U,17973,999,1339,.18995E-3,.318E-5,0
SL-14 R/B,1987-055B,2026-05-17T20:21:27.009792,14.85685256,.00215911,82.4975,283.8304,141.7140,218.5615,0,U,18153,999,8020,.29475972E-4,.281E-5,0
COSMOS 1867,1987-060A,2026-05-18T03:54:30.271968,14.31512205,.0015904,65.0091,112.1421,281.7213,78.2086,0,U,18187,999,2988,.69159E-5,-.82E-6,0
SL-14 R/B,1988-001B,2026-05-18T01:12:23.549184,14.85584469,.001837,82.5110,130.1268,14.2347,345.9382,0,U,18749,999,5232,.28377E-4,.27E-5,0
COSMOS 1933,1988-020A,2026-05-18T04:31:37.942176,15.18517993,.0003,82.5134,182.1374,341.7915,18.3211,0,U,18958,999,6077,.10211E-3,.2137E-4,0
SL-3 R/B,1988-032B,2026-05-18T04:08:03.911136,15.20577662,.0025384,97.5246,121.2525,356.0877,4.0155,0,U,19046,999,6266,.14455E-3,.312E-4,0
