OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
INTELSAT 905 (IS-905),2002-027A,2026-05-18T03:43:15.011040,1.00272433,.0003656,6.6799,70.1535,358.1718,86.1248,0,U,27438,999,5106,0,.96E-6,0
GALAXY 3C (G-3C),2002-030A,2026-05-17T22:18:38.628000,1.00270777,.0001524,3.6529,78.3764,33.1756,3.8838,0,U,27445,999,4619,0,-.148E-5,0
INTELSAT 906 (IS-906),2002-041A,2026-05-18T01:32:51.851328,1.00272745,.0004632,5.7279,73.2848,349.1179,260.7115,0,U,27513,999,8672,0,.16E-6,0
NIMIQ 2,2002-062A,2026-05-17T20:41:30.940224,1.00271821,.00057364,9.3782,57.2179,353.8172,25.7436,0,U,27632,999,4388,0,-.68E-6,0
USA 167,2003-008A,2026-05-17T13:51:27.379008,1.00274817,.0004278,10.9025,43.6807,308.9173,328.6342,0,U,27691,999,646,0,.5E-7,0
USA 169 (MILSTAR-2 4),2003-012A,2026-05-17T14:42:43.884288,1.00273496,.0101362,12.3048,30.0902,7.6652,210.3607,0,U,27711,999,3264,0,-.238E-5,0
ASIASAT 4,2003-014A,2026-05-17T18:29:21.113664,1.00271814,.00029353,4.6282,76.1185,346.9206,237.3139,0,U,27718,999,4499,0,-.217E-5,0
HELLAS-SAT 2,2003-020A,2026-05-18T01:39:38.517984,1.00270974,.0003049,7.2817,68.2371,320.2822,222.1600,0,U,27811,999,4254,0,-.82E-6,0
THURAYA-2,2003-026A,2026-05-17T19:42:29.100096,1.00272040,.00031063,8.7963,32.1031,354.1048,188.9305,0,U,27825,999,8404,0,.126E-5,0
OPTUS C1,2003-028B,2026-05-17T16:27:38.725632,1.00271849,.00056489,6.8151,69.7714,341.3719,226.8931,0,U,27831,999,5275,0,-.147E-5,0
USA 170,2003-040A,2026-05-16T23:04:45.403968,1.00272460,.00017938,10.4361,48.2410,13.4393,183.2680,0,U,27875,999,3268,0,.13E-5,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-05-18T04:59:42.328320,1.00269808,.0002266,1.3427,84.2159,326.1186,110.5005,0,U,27954,999,4627,0,.136E-5,0
YAMAL 202,2003-053A,2026-05-17T14:53:44.333664,1.00272397,.0003757,6.2672,71.3002,319.8175,231.2109,0,U,28089,999,8239,0,-.75E-6,0
UFO 11 (USA 174),2003-057A,2026-05-18T05:17:38.816160,1.00272831,.0002539,8.9352,33.9778,16.5659,340.2341,0,U,28117,999,8214,0,-.104E-5,0
USA 176 (DSP 22),2004-004A,2026-05-18T05:21:13.010400,1.00415731,.0001683,12.0231,26.2934,294.6291,293.1281,0,U,28158,999,3263,0,-.301E-5,0
ABS-4 (MOBISAT-1),2004-007A,2026-05-18T04:42:51.697152,1.00272432,.0005396,5.9675,72.3658,344.9133,310.2993,0,U,28184,999,5203,0,.41E-6,0
INTELSAT 10-02,2004-022A,2026-05-17T21:12:20.483424,1.00272343,.0000154,0.0349,49.2772,112.5373,30.8769,0,U,28358,999,8025,0,-.5E-7,0
ANIK F2,2004-027A,2026-05-18T04:33:43.579008,1.00271198,.00042,3.2104,79.8301,347.1354,126.2227,0,U,28378,999,4096,0,-.46E-6,0
AMC-15,2004-041A,2026-05-18T05:31:50.656224,1.00271118,.0002004,0.0220,310.6331,101.0350,162.1633,0,U,28446,999,7900,0,-.85E-6,0
NSS-10,2005-003A,2026-05-18T04:38:50.253216,1.00270694,.0002745,6.3762,70.8107,336.0285,221.3109,0,U,28526,999,5285,0,-.249E-5,0
INMARSAT 4-F1,2005-009A,2026-05-17T14:29:52.162944,1.00270601,.0002587,5.1285,42.6972,12.1503,216.0486,0,U,28628,999,7736,0,.37E-6,0
DIRECTV 8,2005-019A,2026-05-17T13:50:20.234112,1.00271685,.00028005,0.0133,278.3100,140.0295,265.4703,0,U,28659,999,7676,0,.8E-7,0
GALAXY 28 (G-28),2005-022A,2026-05-17T23:41:10.860000,1.00267949,.0002786,3.2224,79.2822,339.8553,144.7398,0,U,28702,999,5167,0,-.196E-5,0
THAICOM 4,2005-028A,2026-05-18T00:38:38.903424,1.00271370,.0001764,0.1678,86.0767,326.2062,312.6009,0,U,28786,999,5194,0,-.357E-5,0
ANIK F1R,2005-036A,2026-05-18T05:09:01.718208,1.00270272,.0003777,4.2374,76.9375,345.8057,143.1369,0,U,28868,999,4615,0,-.72E-6,0
SYRACUSE 3A,2005-041B,2026-05-17T21:25:49.190880,1.00273366,.00034089,4.5673,76.2033,335.1179,191.9299,0,U,28885,999,7544,0,.135E-5,0
INMARSAT 4-F2,2005-044A,2026-05-17T16:43:38.616672,1.00270786,.00026644,5.0560,43.7405,12.9823,213.0810,0,U,28899,999,7521,0,-.256E-5,0
METEOSAT-9 (MSG-2),2005-049B,2026-05-17T21:25:41.702592,1.00270513,.00011995,9.2950,54.4608,314.9187,233.2814,0,U,28912,999,669,0,.126E-5,0
EUTELSAT 174A,2005-052A,2026-05-17T21:38:51.942048,1.00270586,.0006136,4.1443,76.8857,334.6543,322.7520,0,U,28924,999,5202,0,.13E-6,0
ECHOSTAR 10,2006-003A,2026-05-18T04:34:38.393760,1.00270566,.0002416,0.0329,32.4635,334.1464,187.7567,0,U,28935,999,7416,0,-.51E-6,0
SPAINSAT,2006-007A,2026-05-17T10:20:24.004896,1.00269129,.00046345,0.4841,86.9710,327.5085,305.5740,0,U,28945,999,7391,0,-.21E-5,0
JCSAT-5A,2006-010A,2026-05-18T00:31:51.771072,1.00270834,.0001916,1.0319,84.5172,0.9208,290.3074,0,U,29045,999,7346,0,-.323E-5,0
ASTRA 1KR,2006-012A,2026-05-18T01:23:38.853312,1.00269976,.0003253,0.3967,82.9967,328.0352,224.6284,0,U,29055,999,4539,0,.123E-5,0
GALAXY 16 (G-16),2006-023A,2026-05-18T02:54:19.456128,1.00263571,.0002569,0.0607,112.1507,304.1167,124.1185,0,U,29236,999,7267,0,-.121E-5,0
EUTELSAT 33F,2006-032A,2026-05-18T01:07:38.703936,1.00270529,.0003377,1.5847,82.5510,327.5381,235.6484,0,U,29270,999,4700,0,.16E-5,0
JCSAT-3A,2006-033A,2026-05-17T21:49:10.795008,1.00267265,.00032699,0.0355,66.4627,322.2676,302.1718,0,U,29272,999,4743,0,-.34E-5,0
KOREASAT 5 (MUGUNGWHA 5),2006-034A,2026-05-17T21:44:56.200992,1.00270922,.00015724,1.7081,83.3292,6.4116,225.1629,0,U,29349,999,4101,0,-.353E-5,0
DIRECTV 9S,2006-043A,2026-05-18T04:04:38.694720,1.00270913,.0004444,2.3445,81.2406,349.0896,125.5074,0,U,29494,999,5108,0,-.109E-5,0
OPTUS D1,2006-043B,2026-05-17T21:55:55.147008,1.00270752,.0003588,2.9581,80.0078,332.0842,304.4928,0,U,29495,999,7181,0,-.179E-5,0
BADR-4,2006-051A,2026-05-18T01:15:38.668032,1.00272457,.00048,1.9282,81.4168,317.3140,242.2658,0,U,29526,999,5096,0,.15E-5,0
WILDBLUE-1,2006-054A,2026-05-18T04:33:43.528032,1.00270682,.000132,2.7269,80.8372,328.8782,143.4039,0,U,29643,999,5349,0,-.45E-6,0
SKYNET 5A,2007-007B,2026-05-17T23:22:21.548064,1.00270366,.0004226,5.2256,74.0998,352.6598,254.7299,0,U,30794,999,7039,0,-.267E-5,0
ANIK F3,2007-009A,2026-05-18T04:42:40.491072,1.00270551,.0002492,1.1208,84.1619,324.3464,139.3438,0,U,31102,999,4626,0,.3E-7,0
