OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FOX-1CLIFF (AO-95),2018-099N,2026-05-18T02:49:41.685312,15.26003786,.0010481,97.4401,198.4882,96.2456,263.9976,0,U,43770,999,40863,.33132E-3,.8462E-4,0
ITASAT,2018-099AE,2026-05-18T02:40:27.874272,15.18632515,.0014405,97.4047,190.2292,98.0854,262.2015,0,U,43786,999,40834,.23926E-3,.4899E-4,0
JY1SAT (JO-97),2018-099AX,2026-05-18T03:18:12.434688,15.32623556,.0005852,97.4145,200.8886,34.7500,325.4123,0,U,43803,999,40902,.36543E-3,.11444E-3,0
UWE-4,2018-111E,2026-05-18T00:51:41.251104,15.44143851,.0010522,97.5867,65.0854,78.7324,281.5105,0,U,43880,999,40612,.48105E-3,.22016E-3,0
TIANYAN 01,2019-093C,2026-05-18T03:46:36.430176,14.86465608,.0013484,97.7542,211.1209,179.4616,180.6616,0,U,44881,999,34695,.11594E-3,.973E-5,0
RS-44 & BREEZE-KM R/B,2019-096E,2026-05-18T03:21:18.263808,12.79748232,.0216829,82.5234,359.6752,214.4099,144.2802,0,U,44909,999,29850,.71098E-4,.28E-6,0
SALSAT,2020-068K,2026-05-17T11:07:22.382400,15.29311509,.00112504,97.8852,138.6705,57.3767,302.8556,0,U,46495,999,31066,.19956519E-3,.5599E-4,0
XW-3 (CAS-9),2021-131B,2026-05-18T04:53:48.133248,14.41326294,.0004201,98.4971,230.7582,170.8752,189.2514,0,U,50466,999,23079,.12801E-3,.37E-5,0
GREENCUBE (IO-117),2022-080E,2026-05-17T12:34:27.165792,6.42583321,.00088126,70.1432,308.9131,296.7194,63.2564,0,U,53109,999,9009,0,-.3E-7,0
UMKA 1 (RS40S),2023-091G,2026-05-18T03:40:10.218720,15.20442531,.0011929,97.5066,196.9709,218.1169,141.9223,0,U,57172,999,15944,.19E-3,.4082E-4,0
CUBESX-HSE 3 (RS42S),2023-091N,2026-05-18T04:04:57.617184,15.30388318,.0010933,97.5105,203.3948,190.3490,169.7527,0,U,57178,999,15983,.2622E-3,.7641E-4,0
MONITOR-3 (RS58S),2023-091Q,2026-05-18T04:41:34.709568,15.27182623,.001156,97.5097,201.4339,197.6149,162.4690,0,U,57180,999,15971,.24361E-3,.6427E-4,0
MONITOR-4 (RS57S),2023-091S,2026-05-18T04:14:05.663616,15.27279535,.001151,97.5091,201.3840,198.0780,162.0051,0,U,57182,999,15971,.23492E-3,.6213E-4,0
MONITOR-2 (RS39S),2023-091U,2026-05-18T04:52:25.470912,15.18604241,.0010508,97.5088,196.6835,209.4051,150.6593,0,U,57184,999,15940,.13714E-3,.2771E-4,0
SVYATOBOR 1 (RS60S),2023-091X,2026-05-18T03:57:00.930240,15.26055017,.0009472,97.5103,201.8259,188.3368,171.7714,0,U,57187,999,15973,.19483E-3,.4948E-4,0
VIZARD-METEO (RS38S),2023-091Z,2026-05-18T04:05:37.527936,15.34991433,.0008165,97.5103,207.0762,167.8084,192.3358,0,U,57189,999,16008,.26723E-3,.8998E-4,0
POLYTECH-UNIVERSE 3 (RS46S),2023-091AB,2026-05-18T04:02:22.210368,15.18801915,.0014396,97.5063,196.1538,229.4228,130.5754,0,U,57191,999,15939,.16234E-3,.3316E-4,0
UTMN 2 (RS27S),2023-091AP,2026-05-18T04:54:16.964064,15.31249930,.0008595,97.5100,205.0261,174.7436,185.3896,0,U,57203,999,15995,.26433E-3,.7908E-4,0
KUZGTU 1 (RS47S),2023-091AV,2026-05-18T04:49:12.000576,15.29110973,.0010975,97.5078,202.3904,193.8488,166.2452,0,U,57217,999,15979,.25812E-3,.7229E-4,0
SONATE-2,2024-043Q,2026-05-18T04:47:31.507008,15.56438010,.0005789,97.5509,286.8169,309.3237,50.7504,0,U,59112,999,12322,.32728E-3,.23072E-3,0
MESAT1,2024-125G,2026-05-18T01:13:42.403008,15.59935248,.0008681,97.2327,354.9161,335.3049,24.7792,0,U,60209,999,10486,.43196E-3,.34847E-3,0
OOV-CUBE (TUBSAT-30),2024-128F,2026-05-17T23:28:38.265024,15.02605639,.0048399,61.9946,330.8982,127.1885,233.3639,0,U,60240,999,10157,.13161E-3,.1588E-4,0
COLIBRI-S (RS67S),2024-199M,2026-05-18T04:17:31.897824,15.46385673,.0009635,97.3030,11.7843,41.3464,318.8513,0,U,61746,999,13277,.26988E-3,.13277E-3,0
HORS 3 (RS81S),2024-199U,2026-05-18T03:27:45.854208,15.52802865,.0007819,97.3018,13.4308,48.7915,311.4011,0,U,61753,999,13289,.32497E-3,.20068E-3,0
HORS 4 (RS82S),2024-199V,2026-05-18T04:31:25.973184,15.56812147,.0006777,97.2968,14.4997,46.5936,313.5883,0,U,61754,999,13297,.39446E-3,.28248E-3,0
ARCTICSAT 1 (RS74S),2024-199AD,2026-05-17T22:48:10.266048,15.86718538,.0002393,97.2890,19.8037,99.4929,260.6613,0,U,61762,999,13329,.82577E-3,.213781E-2,0
SIT-2086,2024-199AF,2026-05-18T03:36:44.193600,15.50921865,.0007555,97.2984,14.0151,31.1536,329.0163,0,U,61764,999,12977,.34527E-3,.19938E-3,0
HYPERVIEW 1G (RS66S),2024-199AP,2026-05-18T03:28:04.444032,15.68692923,.0006519,97.2931,16.5114,48.2898,311.8920,0,U,61772,999,12995,.59144E-3,.67636E-3,0
ALTAIR (RS65S),2024-199AW,2026-05-18T03:48:23.465952,15.36420603,.0014417,97.3063,7.7157,59.2228,301.0434,0,U,61779,999,13250,.20184E-3,.7113E-4,0
ASRTU-1 (AO-123),2024-199AY,2026-05-18T04:28:48.592128,15.35198822,.0015607,97.3034,7.1326,60.9322,299.3483,0,U,61781,999,12932,.15012E-3,.5068E-4,0
