OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-32353,2024-187P,2026-05-18T04:28:06.452256,15.34373905,.0001379,53.1577,101.5293,89.4726,270.6435,0,U,61587,999,8967,.61163E-3,.20328E-3,0
STARLINK-32325,2024-187Q,2026-05-18T03:21:34.833600,15.34377340,.0001142,53.1604,101.9580,99.3696,260.7435,0,U,61588,999,8972,-.19916E-4,-.1048E-4,0
STARLINK-32416,2024-187R,2026-05-18T03:15:50.011200,15.30190148,.0001192,53.1597,87.0103,76.4471,283.6663,0,U,61589,999,8993,.67493E-4,.164E-4,0
STARLINK-32413,2024-187S,2026-05-18T03:39:44.302176,15.34386083,.0001322,53.1612,102.0304,84.6228,275.4925,0,U,61590,999,8972,-.15872E-4,-.912E-5,0
STARLINK-32409,2024-187T,2026-05-18T02:57:45.685152,15.30194894,.0001445,53.1606,87.6409,87.0855,273.0311,0,U,61591,999,8992,.68955E-5,-.155E-5,0
STARLINK-32422,2024-187U,2026-05-18T03:14:18.748608,15.30195134,.0001327,53.1603,86.9992,76.2646,283.8502,0,U,61592,999,8993,.16001E-4,.115E-5,0
STARLINK-32397,2024-187V,2026-05-18T03:20:43.995840,15.34387331,.000128,53.1618,99.8199,87.9957,272.1192,0,U,61593,999,8975,-.14549E-4,-.868E-5,0
ONEWEB-0015,2024-188A,2026-05-18T04:08:00.354912,13.11414832,.0002319,87.8913,27.0640,88.5615,271.5779,0,U,61594,999,8052,-.11268E-2,-.387E-5,0
ONEWEB-0687,2024-188B,2026-05-18T03:50:29.729184,13.17649649,.0001989,87.9154,11.8487,98.4643,261.6714,0,U,61595,999,8194,.18584E-3,.85E-6,0
ONEWEB-0688,2024-188C,2026-05-18T02:42:27.152928,13.17650738,.0002998,87.9154,11.8577,93.8920,266.2554,0,U,61596,999,8193,.54632E-4,.34E-6,0
ONEWEB-0689,2024-188D,2026-05-18T03:06:59.707008,13.11417589,.0001684,87.8935,27.0254,90.4449,269.6872,0,U,61597,999,8051,.12119E-2,.442E-5,0
ONEWEB-0690,2024-188E,2026-05-18T03:21:36.368064,13.11462557,.0002664,87.8909,27.0357,53.6195,306.5179,0,U,61598,999,8069,.19536E-1,.6946E-4,0
ONEWEB-0691,2024-188F,2026-05-18T03:14:18.925728,13.11419621,.0002157,87.8932,26.9444,89.0300,271.1075,0,U,61599,999,8054,.16131E-2,.584E-5,0
ONEWEB-0692,2024-188G,2026-05-18T03:43:36.640416,13.11414825,.0000999,87.8909,27.0594,78.7467,281.3773,0,U,61600,999,8053,.73326E-3,.273E-5,0
ONEWEB-0693,2024-188H,2026-05-18T01:10:07.137408,13.17650091,.0002367,87.9150,11.8916,66.2061,293.9319,0,U,61601,999,8191,.469E-4,.31E-6,0
ONEWEB-0695,2024-188J,2026-05-18T03:09:24.971328,13.11420104,.000135,87.8912,27.0559,91.1213,269.0070,0,U,61602,999,8052,.12968E-2,.472E-5,0
ONEWEB-0697,2024-188K,2026-05-18T03:55:48.510624,13.11414548,.0001066,87.8912,27.0395,73.8925,286.2321,0,U,61603,999,8051,-.27781E-3,-.86E-6,0
ONEWEB-0698,2024-188L,2026-05-18T03:24:05.070240,13.11415494,.0001562,87.8911,27.0586,41.4645,318.6601,0,U,61604,999,8053,.17062E-2,.617E-5,0
ONEWEB-0699,2024-188M,2026-05-18T03:08:08.561760,13.10370151,.0001239,87.8851,42.2486,68.1384,291.9875,0,U,61605,999,7937,-.59084E-3,-.194E-5,0
ONEWEB-0700,2024-188N,2026-05-18T03:10:31.728288,13.10370157,.0001184,87.8869,42.1521,86.3117,273.8145,0,U,61606,999,7936,-.8039E-3,-.268E-5,0
ONEWEB-0701,2024-188P,2026-05-18T03:34:25.732416,13.10374022,.0001099,87.8860,42.2431,64.2165,295.9076,0,U,61607,999,7937,-.17665E-2,-.604E-5,0
ONEWEB-0702,2024-188Q,2026-05-18T02:40:07.978080,13.11417282,.00008,87.8931,26.9647,87.0150,273.1070,0,U,61608,999,8054,-.95996E-3,-.328E-5,0
ONEWEB-0704,2024-188R,2026-05-18T03:17:42.180000,13.10368433,.0000829,87.8873,42.2324,100.1819,259.9402,0,U,61609,999,7935,-.20879E-3,-.6E-6,0
ONEWEB-0705,2024-188S,2026-05-18T03:24:52.032096,13.10374043,.0001679,87.8862,42.2377,116.2746,243.8554,0,U,61610,999,7152,-.15372E-2,-.524E-5,0
ONEWEB-0706,2024-188T,2026-05-18T03:03:21.890016,13.10369724,.0001322,87.8853,42.2479,91.1768,268.9511,0,U,61611,999,7944,-.35766E-4,0,0
ONEWEB-0707,2024-188U,2026-05-18T03:12:55.281888,13.10371083,.0001281,87.8859,42.2390,87.2301,272.8973,0,U,61612,999,7938,-.10277E-2,-.346E-5,0
ONEWEB-0708,2024-188V,2026-05-18T03:39:13.041792,13.10375192,.0001998,87.8854,42.2563,95.4623,264.6732,0,U,61613,999,7936,-.13392E-2,-.455E-5,0
TIANPING 3A-01,2024-189A,2026-05-18T04:21:30.557088,15.01012269,.0003073,97.5224,159.3593,76.6510,283.5057,0,U,61614,999,8598,.16302E-3,.2024E-4,0
YAOGAN-43 03A,2024-190A,2026-05-16T03:01:01.881408,15.23096017,.0005197,34.9935,39.3816,29.8880,330.2639,0,U,61617,999,8697,.14597E-3,.3537E-4,0
YAOGAN-43 03B,2024-190B,2026-05-18T03:48:31.984128,15.23151269,.0005381,34.9900,26.4876,94.8614,265.2715,0,U,61618,999,8728,.24332E-3,.5858E-4,0
YAOGAN-43 03C,2024-190C,2026-05-18T03:55:53.491584,15.23009824,.0005075,34.9970,26.8929,74.0218,286.1055,0,U,61619,999,8724,.652E-4,.1535E-4,0
STARLINK-32302,2024-191A,2026-05-18T00:38:43.110240,15.27574733,.0001387,43.0029,122.6627,265.6290,94.4404,0,U,61621,999,8889,.53505E-5,-.115E-5,0
